Episode 0, Reward: 750
Episode 1, Reward: 100
Episode 2, Reward: 500
Episode 3, Reward: 250
Episode 4, Reward: 250
Episode 5, Reward: 150
Episode 6, Reward: 100
Episode 7, Reward: 450
Episode 8, Reward: 500
Episode 9, Reward: 250
Episode 10, Reward: 150
Episode 11, Reward: 150
Episode 12, Reward: 100
Episode 13, Reward: 200
Episode 14, Reward: 500
Episode 15, Reward: 150
Episode 16, Reward: 300
Episode 17, Reward: 150
Episode 18, Reward: 150
Episode 19, Reward: 200
Episode   20 | eps=0.946 | mean=267.5 | best=750.0 | steps=5384
Episode 20, Reward: 200
Episode 21, Reward: 100
Episode 22, Reward: 300
Episode 23, Reward: 250
Episode 24, Reward: 850
Episode 25, Reward: 100
Episode 26, Reward: 200
Episode 27, Reward: 150
Episode 28, Reward: 200
Episode 29, Reward: 450
Episode 30, Reward: 350
Episode 31, Reward: 100
Episode 32, Reward: 200
Episode 33, Reward: 250
Episode 34, Reward: 50
Episode 35, Reward: 200
Episode 36, Reward: 200
Episode 37, Reward: 150
Episode 38, Reward: 300
Episode 39, Reward: 400
Episode   40 | eps=0.897 | mean=250.0 | best=850.0 | steps=10307
Episode 40, Reward: 250
Episode 41, Reward: 200
Episode 42, Reward: 400
Episode 43, Reward: 200
Episode 44, Reward: 200
Episode 45, Reward: 450
Episode 46, Reward: 100
Episode 47, Reward: 350
Episode 48, Reward: 650
Episode 49, Reward: 200
Episode 50, Reward: 350
Episode 51, Reward: 250
Episode 52, Reward: 200
Episode 53, Reward: 500
Episode 54, Reward: 50
Episode 55, Reward: 350
Episode 56, Reward: 500
Episode 57, Reward: 200
Episode 58, Reward: 200
Episode 59, Reward: 400
Episode   60 | eps=0.843 | mean=300.0 | best=650.0 | steps=15707
Episode 60, Reward: 250
Episode 61, Reward: 150
Episode 62, Reward: 150
Episode 63, Reward: 150
Episode 64, Reward: 450
Episode 65, Reward: 100
Episode 66, Reward: 400
Episode 67, Reward: 300
Episode 68, Reward: 400
Episode 69, Reward: 200
Episode 70, Reward: 250
Episode 71, Reward: 250
Episode 72, Reward: 600
Episode 73, Reward: 250
Episode 74, Reward: 350
Episode 75, Reward: 600
Episode 76, Reward: 200
Episode 77, Reward: 100
Episode 78, Reward: 50
Episode 79, Reward: 300
Episode   80 | eps=0.792 | mean=275.0 | best=600.0 | steps=20800
Episode 80, Reward: 450
Episode 81, Reward: 300
Episode 82, Reward: 300
Episode 83, Reward: 250
Episode 84, Reward: 100
Episode 85, Reward: 400
Episode 86, Reward: 250
Episode 87, Reward: 250
Episode 88, Reward: 100
Episode 89, Reward: 450
Episode 90, Reward: 200
Episode 91, Reward: 250
Episode 92, Reward: 300
Episode 93, Reward: 100
Episode 94, Reward: 150
Episode 95, Reward: 200
Episode 96, Reward: 500
Episode 97, Reward: 400
Episode 98, Reward: 150
Episode 99, Reward: 500
Checkpoint saved — episode 99, steps 25966
Checkpoint saved at episode 99
