Episode 0, Reward: 200
Episode 1, Reward: 250
Episode 2, Reward: 250
Episode 3, Reward: 650
Episode 4, Reward: 100
Episode 5, Reward: 400
Episode 6, Reward: 300
Episode 7, Reward: 200
Episode 8, Reward: 200
Episode 9, Reward: 200
Episode 10, Reward: 300
Episode 11, Reward: 950
Episode 12, Reward: 500
Episode 13, Reward: 150
Episode 14, Reward: 150
Episode 15, Reward: 400
Episode 16, Reward: 100
Episode 17, Reward: 400
Episode 18, Reward: 150
Episode 19, Reward: 500
Episode   20 | eps=0.684 | mean=317.5 | best=950.0 | steps=31617
Episode 20, Reward: 200
Episode 21, Reward: 150
Episode 22, Reward: 100
Episode 23, Reward: 350
Episode 24, Reward: 350
Episode 25, Reward: 350
Episode 26, Reward: 300
Episode 27, Reward: 300
Episode 28, Reward: 300
Episode 29, Reward: 500
Episode 30, Reward: 300
Episode 31, Reward: 200
Episode 32, Reward: 650
Episode 33, Reward: 150
Episode 34, Reward: 150
Episode 35, Reward: 400
Episode 36, Reward: 200
Episode 37, Reward: 200
Episode 38, Reward: 300
Episode 39, Reward: 200
Episode   40 | eps=0.631 | mean=282.5 | best=650.0 | steps=36855
Episode 40, Reward: 300
Episode 41, Reward: 800
Episode 42, Reward: 250
Episode 43, Reward: 300
Episode 44, Reward: 350
Episode 45, Reward: 200
Episode 46, Reward: 100
Episode 47, Reward: 250
Episode 48, Reward: 150
Episode 49, Reward: 300
Episode 50, Reward: 200
Episode 51, Reward: 150
Episode 52, Reward: 1000
Episode 53, Reward: 250
Episode 54, Reward: 550
Episode 55, Reward: 100
Episode 56, Reward: 100
Episode 57, Reward: 250
Episode 58, Reward: 300
Episode 59, Reward: 150
Episode   60 | eps=0.580 | mean=302.5 | best=1000.0 | steps=42034
Episode 60, Reward: 100
Episode 61, Reward: 350
Episode 62, Reward: 150
Episode 63, Reward: 200
Episode 64, Reward: 250
Episode 65, Reward: 400
Episode 66, Reward: 250
Episode 67, Reward: 200
Episode 68, Reward: 700
Episode 69, Reward: 100
Episode 70, Reward: 150
Episode 71, Reward: 300
Episode 72, Reward: 450
Episode 73, Reward: 200
Episode 74, Reward: 400
Episode 75, Reward: 300
Episode 76, Reward: 150
Episode 77, Reward: 300
Episode 78, Reward: 550
Episode 79, Reward: 300
Episode   80 | eps=0.530 | mean=290.0 | best=700.0 | steps=47022
Episode 80, Reward: 400
Episode 81, Reward: 200
Episode 82, Reward: 200
Episode 83, Reward: 400
Episode 84, Reward: 100
Episode 85, Reward: 300
Episode 86, Reward: 150
Episode 87, Reward: 400
Episode 88, Reward: 450
Episode 89, Reward: 550
Episode 90, Reward: 200
Episode 91, Reward: 400
Episode 92, Reward: 350
Episode 93, Reward: 350
Episode 94, Reward: 200
Episode 95, Reward: 300
Episode 96, Reward: 350
Episode 97, Reward: 250
Episode 98, Reward: 100
Episode 99, Reward: 150
Checkpoint saved — episode 99, steps 52151
Checkpoint saved at episode 99
