Episode 0, Reward: 450
Episode 1, Reward: 200
Episode 2, Reward: 200
Episode 3, Reward: 200
Episode 4, Reward: 300
Episode 5, Reward: 150
Episode 6, Reward: 150
Episode 7, Reward: 300
Episode 8, Reward: 300
Episode 9, Reward: 350
Episode 10, Reward: 300
Episode 11, Reward: 550
Episode 12, Reward: 150
Episode 13, Reward: 350
Episode 14, Reward: 150
Episode 15, Reward: 350
Episode 16, Reward: 250
Episode 17, Reward: 450
Episode 18, Reward: 250
Episode 19, Reward: 550
Episode   20 | eps=0.428 | mean=297.5 | best=550.0 | steps=57230
Episode 20, Reward: 250
Episode 21, Reward: 300
Episode 22, Reward: 200
Episode 23, Reward: 400
Episode 24, Reward: 350
Episode 25, Reward: 450
Episode 26, Reward: 600
Episode 27, Reward: 300
Episode 28, Reward: 350
Episode 29, Reward: 150
Episode 30, Reward: 250
Episode 31, Reward: 600
Episode 32, Reward: 500
Episode 33, Reward: 250
Episode 34, Reward: 650
Episode 35, Reward: 200
Episode 36, Reward: 300
Episode 37, Reward: 250
Episode 38, Reward: 200
Episode 39, Reward: 350
Episode   40 | eps=0.374 | mean=345.0 | best=650.0 | steps=62637
Episode 40, Reward: 600
Episode 41, Reward: 150
Episode 42, Reward: 250
Episode 43, Reward: 250
Episode 44, Reward: 350
Episode 45, Reward: 200
Episode 46, Reward: 200
Episode 47, Reward: 350
Episode 48, Reward: 450
Episode 49, Reward: 300
Episode 50, Reward: 350
Episode 51, Reward: 300
Episode 52, Reward: 350
Episode 53, Reward: 650
Episode 54, Reward: 500
Episode 55, Reward: 250
Episode 56, Reward: 150
Episode 57, Reward: 100
Episode 58, Reward: 250
Episode 59, Reward: 200
Episode   60 | eps=0.323 | mean=310.0 | best=650.0 | steps=67704
Episode 60, Reward: 800
Episode 61, Reward: 450
Episode 62, Reward: 500
Episode 63, Reward: 450
Episode 64, Reward: 600
Episode 65, Reward: 650
Episode 66, Reward: 200
Episode 67, Reward: 500
Episode 68, Reward: 550
Episode 69, Reward: 250
Episode 70, Reward: 350
Episode 71, Reward: 100
Episode 72, Reward: 150
Episode 73, Reward: 300
Episode 74, Reward: 350
Episode 75, Reward: 650
Episode 76, Reward: 300
Episode 77, Reward: 300
Episode 78, Reward: 250
Episode 79, Reward: 250
Episode   80 | eps=0.268 | mean=397.5 | best=800.0 | steps=73241
Episode 80, Reward: 200
Episode 81, Reward: 300
Episode 82, Reward: 450
Episode 83, Reward: 300
Episode 84, Reward: 100
Episode 85, Reward: 600
Episode 86, Reward: 350
Episode 87, Reward: 300
Episode 88, Reward: 350
Episode 89, Reward: 200
Episode 90, Reward: 350
Episode 91, Reward: 200
Episode 92, Reward: 300
Episode 93, Reward: 500
Episode 94, Reward: 450
Episode 95, Reward: 450
Episode 96, Reward: 300
Episode 97, Reward: 300
Episode 98, Reward: 250
Episode 99, Reward: 250
Episode  100 | eps=0.216 | mean=325.0 | best=600.0 | steps=78352
Episode 100, Reward: 200
Episode 101, Reward: 400
Episode 102, Reward: 200
Episode 103, Reward: 200
Episode 104, Reward: 450
Episode 105, Reward: 450
Episode 106, Reward: 450
Episode 107, Reward: 200
Episode 108, Reward: 200
Episode 109, Reward: 300
Episode 110, Reward: 500
Episode 111, Reward: 250
Episode 112, Reward: 500
Episode 113, Reward: 350
Episode 114, Reward: 200
Episode 115, Reward: 500
Episode 116, Reward: 600
Episode 117, Reward: 400
Episode 118, Reward: 350
Episode 119, Reward: 400
Episode  120 | eps=0.160 | mean=355.0 | best=600.0 | steps=84003
Episode 120, Reward: 450
Episode 121, Reward: 100
Episode 122, Reward: 200
Episode 123, Reward: 300
Episode 124, Reward: 250
Episode 125, Reward: 200
Episode 126, Reward: 100
Episode 127, Reward: 150
Episode 128, Reward: 250
Episode 129, Reward: 850
Episode 130, Reward: 550
Episode 131, Reward: 400
Episode 132, Reward: 350
Episode 133, Reward: 200
Episode 134, Reward: 350
Episode 135, Reward: 250
Episode 136, Reward: 250
Episode 137, Reward: 200
Episode 138, Reward: 250
Episode 139, Reward: 200
Episode  140 | eps=0.111 | mean=292.5 | best=850.0 | steps=88910
Episode 140, Reward: 250
Episode 141, Reward: 150
Episode 142, Reward: 300
Episode 143, Reward: 200
Episode 144, Reward: 250
Episode 145, Reward: 250
Episode 146, Reward: 150
Episode 147, Reward: 450
Episode 148, Reward: 300
Episode 149, Reward: 250
Episode 150, Reward: 350
Episode 151, Reward: 500
Episode 152, Reward: 150
Episode 153, Reward: 550
Episode 154, Reward: 600
Episode 155, Reward: 450
Episode 156, Reward: 500
Episode 157, Reward: 350
Episode 158, Reward: 400
Episode 159, Reward: 400
Episode  160 | eps=0.100 | mean=340.0 | best=600.0 | steps=93935
Episode 160, Reward: 450
Episode 161, Reward: 200
Episode 162, Reward: 200
Episode 163, Reward: 900
Episode 164, Reward: 550
Episode 165, Reward: 300
Episode 166, Reward: 900
Episode 167, Reward: 200
Episode 168, Reward: 450
Episode 169, Reward: 250
Episode 170, Reward: 350
Episode 171, Reward: 350
Episode 172, Reward: 200
Episode 173, Reward: 500
Episode 174, Reward: 250
Episode 175, Reward: 150
Episode 176, Reward: 150
Episode 177, Reward: 400
Episode 178, Reward: 200
Episode 179, Reward: 350
Episode  180 | eps=0.100 | mean=365.0 | best=900.0 | steps=99341
Episode 180, Reward: 550
Episode 181, Reward: 250
Episode 182, Reward: 500
Episode 183, Reward: 550
Episode 184, Reward: 150
Episode 185, Reward: 200
Episode 186, Reward: 600
Episode 187, Reward: 250
Episode 188, Reward: 350
Episode 189, Reward: 650
Episode 190, Reward: 400
Episode 191, Reward: 200
Episode 192, Reward: 350
Episode 193, Reward: 350
Episode 194, Reward: 300
Episode 195, Reward: 400
Episode 196, Reward: 150
Episode 197, Reward: 450
Episode 198, Reward: 500
Episode 199, Reward: 250
Episode  200 | eps=0.100 | mean=370.0 | best=650.0 | steps=104690
Episode 200, Reward: 550
Episode 201, Reward: 500
Episode 202, Reward: 300
Episode 203, Reward: 350
Episode 204, Reward: 300
Episode 205, Reward: 550
Episode 206, Reward: 300
Episode 207, Reward: 250
Episode 208, Reward: 450
Episode 209, Reward: 450
Episode 210, Reward: 850
Episode 211, Reward: 400
Episode 212, Reward: 250
Episode 213, Reward: 250
Episode 214, Reward: 300
Episode 215, Reward: 350
Episode 216, Reward: 250
Episode 217, Reward: 500
