Episode 0, Reward: 300
Episode 1, Reward: 200
Episode 2, Reward: 300
Episode 3, Reward: 100
Episode 4, Reward: 450
Episode 5, Reward: 200
Episode 6, Reward: 300
Episode 7, Reward: 300
Episode 8, Reward: 450
Episode 9, Reward: 450
Episode 10, Reward: 250
Episode 11, Reward: 200
Episode 12, Reward: 200
Episode 13, Reward: 250
Episode 14, Reward: 150
Episode 15, Reward: 250
Episode 16, Reward: 100
Episode 17, Reward: 200
Episode 18, Reward: 200
Episode 19, Reward: 200
Episode   20 | eps=0.949 | mean=252.5 | best=450.0 | steps=5060
Episode 20, Reward: 300
Episode 21, Reward: 150
Episode 22, Reward: 300
Episode 23, Reward: 150
Episode 24, Reward: 550
Episode 25, Reward: 350
Episode 26, Reward: 350
Episode 27, Reward: 450
Episode 28, Reward: 100
Episode 29, Reward: 100
Episode 30, Reward: 100
Episode 31, Reward: 100
Episode 32, Reward: 650
Episode 33, Reward: 250
Episode 34, Reward: 400
Episode 35, Reward: 200
Episode 36, Reward: 400
Episode 37, Reward: 350
Episode 38, Reward: 50
Episode 39, Reward: 600
Episode   40 | eps=0.891 | mean=295.0 | best=650.0 | steps=10921
Episode 40, Reward: 300
Episode 41, Reward: 650
Episode 42, Reward: 250
Episode 43, Reward: 100
Episode 44, Reward: 150
Episode 45, Reward: 700
Episode 46, Reward: 200
Episode 47, Reward: 100
Episode 48, Reward: 350
Episode 49, Reward: 400
Episode 50, Reward: 300
Episode 51, Reward: 250
Episode 52, Reward: 100
Episode 53, Reward: 100
Episode 54, Reward: 150
Episode 55, Reward: 100
Episode 56, Reward: 200
Episode 57, Reward: 150
Episode 58, Reward: 300
Episode 59, Reward: 500
Episode   60 | eps=0.836 | mean=267.5 | best=700.0 | steps=16364
Episode 60, Reward: 200
Episode 61, Reward: 300
Episode 62, Reward: 150
Episode 63, Reward: 500
Episode 64, Reward: 350
Episode 65, Reward: 100
Episode 66, Reward: 100
Episode 67, Reward: 250
Episode 68, Reward: 300
Episode 69, Reward: 200
Episode 70, Reward: 150
Episode 71, Reward: 350
Episode 72, Reward: 100
Episode 73, Reward: 400
Episode 74, Reward: 100
Episode 75, Reward: 350
Episode 76, Reward: 150
Episode 77, Reward: 200
Episode 78, Reward: 200
Episode 79, Reward: 350
Episode   80 | eps=0.786 | mean=240.0 | best=500.0 | steps=21350
Episode 80, Reward: 200
Episode 81, Reward: 500
Episode 82, Reward: 250
Episode 83, Reward: 100
Episode 84, Reward: 200
Episode 85, Reward: 200
Episode 86, Reward: 150
Episode 87, Reward: 300
Episode 88, Reward: 250
Episode 89, Reward: 150
Episode 90, Reward: 350
Episode 91, Reward: 400
Episode 92, Reward: 550
Episode 93, Reward: 150
Episode 94, Reward: 100
Episode 95, Reward: 300
Episode 96, Reward: 200
Episode 97, Reward: 350
Episode 98, Reward: 200
Episode 99, Reward: 100
Episode  100 | eps=0.738 | mean=250.0 | best=550.0 | steps=26182
Episode 100, Reward: 450
Episode 101, Reward: 150
Episode 102, Reward: 250
Episode 103, Reward: 250
Episode 104, Reward: 350
Episode 105, Reward: 50
Episode 106, Reward: 250
Episode 107, Reward: 300
Episode 108, Reward: 200
Episode 109, Reward: 250
Episode 110, Reward: 350
Episode 111, Reward: 650
Episode 112, Reward: 150
Episode 113, Reward: 550
Episode 114, Reward: 200
Episode 115, Reward: 250
Episode 116, Reward: 500
Episode 117, Reward: 400
Episode 118, Reward: 150
Episode 119, Reward: 200
Episode  120 | eps=0.686 | mean=295.0 | best=650.0 | steps=31399
Episode 120, Reward: 450
Episode 121, Reward: 250
Episode 122, Reward: 150
Episode 123, Reward: 300
Episode 124, Reward: 200
Episode 125, Reward: 150
Episode 126, Reward: 150
Episode 127, Reward: 150
Episode 128, Reward: 150
Episode 129, Reward: 300
Episode 130, Reward: 250
Episode 131, Reward: 250
Episode 132, Reward: 300
Episode 133, Reward: 400
Episode 134, Reward: 200
Episode 135, Reward: 250
Episode 136, Reward: 150
Episode 137, Reward: 800
