Episode 0, Reward: 250
Episode 1, Reward: 350
Episode 2, Reward: 150
Episode 3, Reward: 450
Episode 4, Reward: 100
Episode 5, Reward: 150
Episode 6, Reward: 300
Episode 7, Reward: 400
Episode 8, Reward: 100
Episode 9, Reward: 250
Episode 10, Reward: 350
Episode 11, Reward: 100
Episode 12, Reward: 300
Episode 13, Reward: 500
Episode 14, Reward: 150
Episode 15, Reward: 150
Episode 16, Reward: 250
Episode 17, Reward: 300
Episode 18, Reward: 600
Episode 19, Reward: 250
Episode   20 | eps=0.990 | mean=272.5 | best=600.0 | steps=5073
Episode 20, Reward: 150
Episode 21, Reward: 400
Episode 22, Reward: 100
Episode 23, Reward: 250
Episode 24, Reward: 200
Episode 25, Reward: 350
Episode 26, Reward: 250
Episode 27, Reward: 150
Episode 28, Reward: 150
Episode 29, Reward: 350
Episode 30, Reward: 400
Episode 31, Reward: 250
Episode 32, Reward: 400
Episode 33, Reward: 350
Episode 34, Reward: 400
Episode 35, Reward: 300
Episode 36, Reward: 300
Episode 37, Reward: 200
Episode 38, Reward: 400
Episode 39, Reward: 150
Episode   40 | eps=0.980 | mean=275.0 | best=400.0 | steps=10214
Episode 40, Reward: 250
Episode 41, Reward: 300
Episode 42, Reward: 250
Episode 43, Reward: 300
Episode 44, Reward: 350
Episode 45, Reward: 100
Episode 46, Reward: 650
Episode 47, Reward: 200
Episode 48, Reward: 150
Episode 49, Reward: 350
Episode 50, Reward: 200
Episode 51, Reward: 200
Episode 52, Reward: 300
Episode 53, Reward: 300
Episode 54, Reward: 50
Episode 55, Reward: 400
Episode 56, Reward: 200
Episode 57, Reward: 150
Episode 58, Reward: 450
Episode 59, Reward: 300
Episode   60 | eps=0.969 | mean=272.5 | best=650.0 | steps=15429
Episode 60, Reward: 200
Episode 61, Reward: 300
Episode 62, Reward: 100
Episode 63, Reward: 200
Episode 64, Reward: 200
Episode 65, Reward: 150
Episode 66, Reward: 200
Episode 67, Reward: 450
Episode 68, Reward: 500
Episode 69, Reward: 50
Episode 70, Reward: 250
Episode 71, Reward: 300
Episode 72, Reward: 650
Episode 73, Reward: 500
